code,name,submun,city,province
124715007,Malangag,,Antipas,Cotabato
124715008,Malatad,,Antipas,Cotabato
124715009,Malire,,Antipas,Cotabato
124715010,New Pontevedra,,Antipas,Cotabato
124715011,Poblacion,,Antipas,Cotabato
124715012,B. Cadungon,,Antipas,Cotabato
124715013,Datu Agod,,Antipas,Cotabato
124716000,BANISILAN,,,Cotabato
124716001,Banisilan Poblacion,,Banisilan,Cotabato
124716002,Busaon,,Banisilan,Cotabato
124716003,Capayangan,,Banisilan,Cotabato
124716004,Carugmanan,,Banisilan,Cotabato
124716005,Gastay,,Banisilan,Cotabato
124716006,Kalawaig,,Banisilan,Cotabato
124716007,Kiaring,,Banisilan,Cotabato
124716008,Malagap,,Banisilan,Cotabato
124716009,Malinao,,Banisilan,Cotabato
124716010,Miguel Macasarte,,Banisilan,Cotabato
124716011,Pantar,,Banisilan,Cotabato
124716012,Paradise,,Banisilan,Cotabato
124716013,Pinamulaan,,Banisilan,Cotabato
124716014,Poblacion II,,Banisilan,Cotabato
124716015,Puting-bato,,Banisilan,Cotabato
124716016,Solama,,Banisilan,Cotabato
124716017,Thailand,,Banisilan,Cotabato
124716018,Tinimbacan,,Banisilan,Cotabato
124716019,Tumbao-Camalig,,Banisilan,Cotabato
124716020,Wadya,,Banisilan,Cotabato
124717000,ALEOSAN,,,Cotabato
124717001,Bagolibas,,Aleosan,Cotabato
124717002,Cawilihan,,Aleosan,Cotabato
124717003,Dualing,,Aleosan,Cotabato
124717004,Dunguan,,Aleosan,Cotabato
124717005,Katalicanan,,Aleosan,Cotabato
124717006,Lawili,,Aleosan,Cotabato
124717007,Lower Mingading,,Aleosan,Cotabato
124717008,Luanan,,Aleosan,Cotabato
124717009,Malapang,,Aleosan,Cotabato
124717010,New Leon,,Aleosan,Cotabato
124717011,New Panay,,Aleosan,Cotabato
124717012,Pagangan,,Aleosan,Cotabato
124717013,Palacat,,Aleosan,Cotabato
124717014,Pentil,,Aleosan,Cotabato
124717015,San Mateo,,Aleosan,Cotabato
124717016,Santa Cruz,,Aleosan,Cotabato
124717017,Tapodoc,,Aleosan,Cotabato
124717018,Tomado,,Aleosan,Cotabato
124717019,Upper Mingading,,Aleosan,Cotabato
124718000,ARAKAN,,,Cotabato
124718001,Allab,,Arakan,Cotabato
124718002,Anapolon,,Arakan,Cotabato
124718003,Badiangon,,Arakan,Cotabato
124718004,Binoongan,,Arakan,Cotabato
124718005,Dallag,,Arakan,Cotabato
124718006,Datu Ladayon,,Arakan,Cotabato
124718007,Datu Matangkil,,Arakan,Cotabato
124718008,Doroluman,,Arakan,Cotabato
124718009,Gambodes,,Arakan,Cotabato
124718010,Ganatan,,Arakan,Cotabato
124718011,Greenfield,,Arakan,Cotabato
124718012,Kabalantian,,Arakan,Cotabato
124718013,Katipunan,,Arakan,Cotabato
124718014,Kinawayan,,Arakan,Cotabato
124718015,Kulaman Valley,,Arakan,Cotabato
124718016,Lanao Kuran,,Arakan,Cotabato
124718017,Libertad,,Arakan,Cotabato
124718018,Makalangot,,Arakan,Cotabato
124718019,Malibatuan,,Arakan,Cotabato
124718020,Maria Caridad,,Arakan,Cotabato
124718021,Meocan,,Arakan,Cotabato
124718022,Naje,,Arakan,Cotabato
124718023,Napalico,,Arakan,Cotabato
124718024,Salasang,,Arakan,Cotabato
124718025,San Miguel,,Arakan,Cotabato
124718026,Santo Niño,,Arakan,Cotabato
124718027,Sumalili,,Arakan,Cotabato
124718028,Tumanding,,Arakan,Cotabato
126300000,SOUTH COTABATO,,,
126302000,BANGA,,,South Cotabato
126302002,Benitez (Pob.),,Banga,South Cotabato
126302003,Cabudian,,Banga,South Cotabato
126302004,Cabuling,,Banga,South Cotabato
126302005,Cinco (Barrio 5),,Banga,South Cotabato
126302006,Derilon,,Banga,South Cotabato
126302007,El Nonok,,Banga,South Cotabato
126302008,Improgo Village (Pob.),,Banga,South Cotabato
126302009,Kusan (Barrio 8),,Banga,South Cotabato
126302010,Lam-Apos,,Banga,South Cotabato
126302011,Lamba,,Banga,South Cotabato
126302012,Lambingi,,Banga,South Cotabato
126302013,Lampari,,Banga,South Cotabato
126302014,Liwanay (Barrio 1),,Banga,South Cotabato
126302015,Malaya (Barrio 9),,Banga,South Cotabato
126302016,Punong Grande (Barrio 2),,Banga,South Cotabato
126302017,Rang-ay (Barrio 4),,Banga,South Cotabato
126302018,Reyes (Pob.),,Banga,South Cotabato
126302019,Rizal (Barrio 3),,Banga,South Cotabato
126302020,Rizal Poblacion,,Banga,South Cotabato
126302021,San Jose (Barrio 7),,Banga,South Cotabato
126302022,San Vicente (Barrio 6),,Banga,South Cotabato
126302024,Yangco Poblacion,,Banga,South Cotabato
126303000,CITY OF GENERAL SANTOS (DADIANGAS),,,South Cotabato
126303003,Baluan,,General Santos,South Cotabato
126303004,Buayan,,General Santos,South Cotabato
126303005,Bula,,General Santos,South Cotabato
126303006,Conel,,General Santos,South Cotabato
126303007,Dadiangas East (Pob.),,General Santos,South Cotabato
126303009,Katangawan,,General Santos,South Cotabato
126303011,Lagao (1st & 3rd),,General Santos,South Cotabato
126303012,Labangal,,General Santos,South Cotabato
126303015,Ligaya,,General Santos,South Cotabato
126303016,Mabuhay,,General Santos,South Cotabato
126303023,San Isidro (Lagao 2nd),,General Santos,South Cotabato
126303024,San Jose,,General Santos,South Cotabato
126303026,Sinawal,,General Santos,South Cotabato
126303027,Tambler,,General Santos,South Cotabato
126303028,Tinagacan,,General Santos,South Cotabato
126303029,Apopong,,General Santos,South Cotabato
126303030,Siguel,,General Santos,South Cotabato
