psgc_code,name,submun,city,province
133905045,Barangay 343,Santa Cruz,Manila,Metro Manila
133905046,Barangay 344,Santa Cruz,Manila,Metro Manila
133905047,Barangay 345,Santa Cruz,Manila,Metro Manila
133905048,Barangay 346,Santa Cruz,Manila,Metro Manila
133905049,Barangay 347,Santa Cruz,Manila,Metro Manila
133905050,Barangay 348,Santa Cruz,Manila,Metro Manila
133905051,Barangay 349,Santa Cruz,Manila,Metro Manila
133905052,Barangay 350,Santa Cruz,Manila,Metro Manila
133905053,Barangay 351,Santa Cruz,Manila,Metro Manila
133905054,Barangay 352,Santa Cruz,Manila,Metro Manila
133905055,Barangay 353,Santa Cruz,Manila,Metro Manila
133905056,Barangay 354,Santa Cruz,Manila,Metro Manila
133905057,Barangay 355,Santa Cruz,Manila,Metro Manila
133905058,Barangay 356,Santa Cruz,Manila,Metro Manila
133905059,Barangay 357,Santa Cruz,Manila,Metro Manila
133905060,Barangay 358,Santa Cruz,Manila,Metro Manila
133905061,Barangay 359,Santa Cruz,Manila,Metro Manila
133905062,Barangay 360,Santa Cruz,Manila,Metro Manila
133905063,Barangay 361,Santa Cruz,Manila,Metro Manila
133905064,Barangay 362,Santa Cruz,Manila,Metro Manila
133905065,Barangay 363,Santa Cruz,Manila,Metro Manila
133905066,Barangay 364,Santa Cruz,Manila,Metro Manila
133905067,Barangay 365,Santa Cruz,Manila,Metro Manila
133905069,Barangay 366,Santa Cruz,Manila,Metro Manila
133905070,Barangay 367,Santa Cruz,Manila,Metro Manila
133905071,Barangay 368,Santa Cruz,Manila,Metro Manila
133905072,Barangay 369,Santa Cruz,Manila,Metro Manila
133905073,Barangay 370,Santa Cruz,Manila,Metro Manila
133905074,Barangay 371,Santa Cruz,Manila,Metro Manila
133905075,Barangay 372,Santa Cruz,Manila,Metro Manila
133905076,Barangay 373,Santa Cruz,Manila,Metro Manila
133905077,Barangay 374,Santa Cruz,Manila,Metro Manila
133905078,Barangay 375,Santa Cruz,Manila,Metro Manila
133905079,Barangay 376,Santa Cruz,Manila,Metro Manila
133905080,Barangay 377,Santa Cruz,Manila,Metro Manila
133905081,Barangay 378,Santa Cruz,Manila,Metro Manila
133905082,Barangay 379,Santa Cruz,Manila,Metro Manila
133905083,Barangay 380,Santa Cruz,Manila,Metro Manila
133905084,Barangay 381,Santa Cruz,Manila,Metro Manila
133905085,Barangay 382,Santa Cruz,Manila,Metro Manila
133906000,SAMPALOC,,Manila,Metro Manila
133906001,Barangay 395,Sampaloc,Manila,Metro Manila
133906002,Barangay 396,Sampaloc,Manila,Metro Manila
133906003,Barangay 397,Sampaloc,Manila,Metro Manila
133906004,Barangay 398,Sampaloc,Manila,Metro Manila
133906005,Barangay 399,Sampaloc,Manila,Metro Manila
133906006,Barangay 400,Sampaloc,Manila,Metro Manila
133906007,Barangay 401,Sampaloc,Manila,Metro Manila
133906008,Barangay 402,Sampaloc,Manila,Metro Manila
133906009,Barangay 403,Sampaloc,Manila,Metro Manila
133906010,Barangay 404,Sampaloc,Manila,Metro Manila
133906011,Barangay 405,Sampaloc,Manila,Metro Manila
133906012,Barangay 406,Sampaloc,Manila,Metro Manila
133906013,Barangay 407,Sampaloc,Manila,Metro Manila
133906014,Barangay 408,Sampaloc,Manila,Metro Manila
133906015,Barangay 409,Sampaloc,Manila,Metro Manila
133906016,Barangay 410,Sampaloc,Manila,Metro Manila
133906017,Barangay 411,Sampaloc,Manila,Metro Manila
133906018,Barangay 412,Sampaloc,Manila,Metro Manila
133906019,Barangay 413,Sampaloc,Manila,Metro Manila
133906020,Barangay 414,Sampaloc,Manila,Metro Manila
133906021,Barangay 415,Sampaloc,Manila,Metro Manila
133906022,Barangay 416,Sampaloc,Manila,Metro Manila
133906023,Barangay 417,Sampaloc,Manila,Metro Manila
133906024,Barangay 418,Sampaloc,Manila,Metro Manila
133906025,Barangay 419,Sampaloc,Manila,Metro Manila
133906026,Barangay 420,Sampaloc,Manila,Metro Manila
133906027,Barangay 421,Sampaloc,Manila,Metro Manila
133906028,Barangay 422,Sampaloc,Manila,Metro Manila
133906029,Barangay 423,Sampaloc,Manila,Metro Manila
133906030,Barangay 424,Sampaloc,Manila,Metro Manila
133906031,Barangay 425,Sampaloc,Manila,Metro Manila
133906032,Barangay 426,Sampaloc,Manila,Metro Manila
133906033,Barangay 427,Sampaloc,Manila,Metro Manila
133906034,Barangay 428,Sampaloc,Manila,Metro Manila
133906035,Barangay 429,Sampaloc,Manila,Metro Manila
133906036,Barangay 430,Sampaloc,Manila,Metro Manila
133906037,Barangay 431,Sampaloc,Manila,Metro Manila
133906038,Barangay 432,Sampaloc,Manila,Metro Manila
133906039,Barangay 433,Sampaloc,Manila,Metro Manila
133906040,Barangay 434,Sampaloc,Manila,Metro Manila
133906041,Barangay 435,Sampaloc,Manila,Metro Manila
133906042,Barangay 436,Sampaloc,Manila,Metro Manila
133906043,Barangay 437,Sampaloc,Manila,Metro Manila
133906044,Barangay 438,Sampaloc,Manila,Metro Manila
133906045,Barangay 439,Sampaloc,Manila,Metro Manila
133906046,Barangay 440,Sampaloc,Manila,Metro Manila
133906047,Barangay 441,Sampaloc,Manila,Metro Manila
133906048,Barangay 442,Sampaloc,Manila,Metro Manila
133906049,Barangay 443,Sampaloc,Manila,Metro Manila
133906050,Barangay 444,Sampaloc,Manila,Metro Manila
133906051,Barangay 445,Sampaloc,Manila,Metro Manila
133906052,Barangay 446,Sampaloc,Manila,Metro Manila
133906053,Barangay 447,Sampaloc,Manila,Metro Manila
133906054,Barangay 448,Sampaloc,Manila,Metro Manila
133906055,Barangay 449,Sampaloc,Manila,Metro Manila
133906056,Barangay 450,Sampaloc,Manila,Metro Manila
133906057,Barangay 451,Sampaloc,Manila,Metro Manila
133906058,Barangay 452,Sampaloc,Manila,Metro Manila
133906059,Barangay 453,Sampaloc,Manila,Metro Manila
