,code,name,submun,city,province,address
209,133901216,Barangay 215,Tondo,Manila,Metro Manila,"Barangay 215,Tondo,Manila,Metro Manila"
210,133901217,Barangay 216,Tondo,Manila,Metro Manila,"Barangay 216,Tondo,Manila,Metro Manila"
211,133901218,Barangay 217,Tondo,Manila,Metro Manila,"Barangay 217,Tondo,Manila,Metro Manila"
212,133901219,Barangay 218,Tondo,Manila,Metro Manila,"Barangay 218,Tondo,Manila,Metro Manila"
213,133901220,Barangay 219,Tondo,Manila,Metro Manila,"Barangay 219,Tondo,Manila,Metro Manila"
214,133901221,Barangay 220,Tondo,Manila,Metro Manila,"Barangay 220,Tondo,Manila,Metro Manila"
215,133901222,Barangay 221,Tondo,Manila,Metro Manila,"Barangay 221,Tondo,Manila,Metro Manila"
216,133901223,Barangay 222,Tondo,Manila,Metro Manila,"Barangay 222,Tondo,Manila,Metro Manila"
217,133901224,Barangay 223,Tondo,Manila,Metro Manila,"Barangay 223,Tondo,Manila,Metro Manila"
218,133901225,Barangay 224,Tondo,Manila,Metro Manila,"Barangay 224,Tondo,Manila,Metro Manila"
219,133901226,Barangay 225,Tondo,Manila,Metro Manila,"Barangay 225,Tondo,Manila,Metro Manila"
220,133901227,Barangay 226,Tondo,Manila,Metro Manila,"Barangay 226,Tondo,Manila,Metro Manila"
221,133901228,Barangay 227,Tondo,Manila,Metro Manila,"Barangay 227,Tondo,Manila,Metro Manila"
222,133901229,Barangay 228,Tondo,Manila,Metro Manila,"Barangay 228,Tondo,Manila,Metro Manila"
223,133901230,Barangay 229,Tondo,Manila,Metro Manila,"Barangay 229,Tondo,Manila,Metro Manila"
224,133901231,Barangay 230,Tondo,Manila,Metro Manila,"Barangay 230,Tondo,Manila,Metro Manila"
225,133901232,Barangay 231,Tondo,Manila,Metro Manila,"Barangay 231,Tondo,Manila,Metro Manila"
226,133901233,Barangay 232,Tondo,Manila,Metro Manila,"Barangay 232,Tondo,Manila,Metro Manila"
227,133901234,Barangay 233,Tondo,Manila,Metro Manila,"Barangay 233,Tondo,Manila,Metro Manila"
228,133901235,Barangay 234,Tondo,Manila,Metro Manila,"Barangay 234,Tondo,Manila,Metro Manila"
229,133901236,Barangay 235,Tondo,Manila,Metro Manila,"Barangay 235,Tondo,Manila,Metro Manila"
230,133901237,Barangay 236,Tondo,Manila,Metro Manila,"Barangay 236,Tondo,Manila,Metro Manila"
231,133901238,Barangay 237,Tondo,Manila,Metro Manila,"Barangay 237,Tondo,Manila,Metro Manila"
232,133901239,Barangay 238,Tondo,Manila,Metro Manila,"Barangay 238,Tondo,Manila,Metro Manila"
233,133901240,Barangay 239,Tondo,Manila,Metro Manila,"Barangay 239,Tondo,Manila,Metro Manila"
234,133901241,Barangay 240,Tondo,Manila,Metro Manila,"Barangay 240,Tondo,Manila,Metro Manila"
235,133901242,Barangay 241,Tondo,Manila,Metro Manila,"Barangay 241,Tondo,Manila,Metro Manila"
236,133901243,Barangay 242,Tondo,Manila,Metro Manila,"Barangay 242,Tondo,Manila,Metro Manila"
237,133901244,Barangay 243,Tondo,Manila,Metro Manila,"Barangay 243,Tondo,Manila,Metro Manila"
238,133901245,Barangay 244,Tondo,Manila,Metro Manila,"Barangay 244,Tondo,Manila,Metro Manila"
239,133901246,Barangay 245,Tondo,Manila,Metro Manila,"Barangay 245,Tondo,Manila,Metro Manila"
